제목,요약
"블레스 유, 블레스 미(Bless you, bless me) [B.."," --언제나 이 남자를 갖고 싶었다.제양국의 전도유망한 젊은 신관 유현진. 그는 오래전부터 명문 현씨 집안의 막내아들 현태오를 짝사랑해 왔다. 그러나 이루어질 수 없는 마음인 것을 잘 알아, 일찌감치 신학에 뜻을 두고 한눈 팔지 않고 출세 가도를 달려 정식 신관 서품을 목전에 두고 있다.어느 날 밤, 7년 만에 분쟁 지역에서 수도로 귀환한 현태오 총독을 환영.."
노 모럴(No Moral) [외전 포함][BL]," “법정이란 약육강식의 견본 같은 곳.그러나 때로는 준비된 다윗이 골리앗을 이긴다.”약자들 편에서 무료 변론도 마다않던 변호사 도윤신.그런 그가 누나의 강권으로 인해대형 로펌 〈도국〉에 입사하여때론 비열한 수까지 써 가며 승리를 거머쥐는파트너 변호사 강세헌의 어쏘로 들어가게 된다.예상은 했지만 강세헌과 도윤신은삶의 방식은 물론이요, 모든 것이 달랐다.윤신이 .."
해일 [BL]," “순진한 척하지 말고, 서도운 씨가 잘 하는 거 있지 않습니까.""도운은 얼떨결에 면접을 보러 간 곳에서 오랜 시간 그리워한 형 해일을 만나게 된다.그에게 죄책감을 느끼고 있던 도운이 어쩔 줄 몰라 하는 것도 잠시,해일의 날카로운 말과 파격적인 제안은 도운을 이도 저도 못 하는 구석으로 몰고 간다.도운은 어쩌면 반은 홧김에, 반은 빚을 갚아야 하는 현실 때문.."
무령의 혼 [BL]," 유명한 퇴마사 가문의 막내 김무령.온 가족의 사랑을 받고 자란 그는100년에 한 번 나올까 말까 한 천재라는 평가를 받았다.“무령아, 나 의뢰 하나만 하자.”그런 무령은 고등학교에 입학한 후 간단한 퇴마사 일을 시작했다.아파트 엘리베이터가 이상하다는 것.요즘 자꾸만 악몽을 꾼다는 것.심지어는 스토커 퇴치나 남친 대행 같은 것들까지.퇴마사라기보단 해결사 일이.."
"Kiss Me, Liar(키스 미, 라이어)[클린버전] [BL..", “난 남자와는 절대 자지 않아.그리고 연우는 주제 파악을 할 줄 알지.”키이스 나이트 피트먼.나에게 아무런 관심도 없으면서내 인생을 가장 많이 바꿔 버린 인간.혹은 나를 조금도 좋아하지 않지만왼쪽 심장을 뒤흔드는 단 한 사람.그런 키이스의 비서로 일하던 나는어느 날 그가 주최한 선상 난교 파티에서극알파에게 둘러싸여 트라우마까지 얻지만도리어 날 탓하는 그 남..
부시통 [BL]," “내가 언제 이 사람을 데려오랬어!”「하지만 얘가 이 나라에서 제일가는 미인인데?」마녀와 인간의 혼혈로 태어난 반쪽짜리 마녀 아이삭. 그는 순혈 마녀가 아닌 탓에, 마녀들이 인간들의 핍박을 피해 떠나간 그믐의 나라로 가지도 못하고, 마녀임을 숨기며 인간 세상에서 소박하게 살아가고 있다.그리고 아이삭이 경비병으로 일하고 있는 왕궁에는 용모도 능력도 출중하나 .."
달빛을 품다 [BL]," 구역 싸움을 하던 중, 큰 상처를 입은 늑대인간을 뱀파이어가 구조해 그가 나을 때까지 치료해 준다.함께 저택에서 생활하는 동안 티격태격했던 두 사람은 서로에게 알 수 없는 감정들이 생기기 시작하는데....표현이 서툰 늑대 인간과 트라우마를 가진 뱀파이어의 달콤살벌한 동거 로맨스!"
타의 선택 [BL], 뭔가 거대한 운명이 나를 불러 차원이동을 한 것이 아니라는 건가요!!! 설마 호모물을 찍으라고 나를 보낸 건가요!! 길 가다가 마치 운명 같은 차원이동을 했다고 생각했는데 평범한 마을청년3이 된 이델의 평범한 차원이동 적응기- 이델(5년째 26세)21세기 한국에서 살아오던 평범하기 그지없는 대학생. 알바를 하며 취업준비하다 뜬금없이 차원이동하게 되어 이세계..
단단한 녀석 [BL]," 내 룸메이트는 게이다.이 사기꾼 같은 놈이 동성애자란 사실을 싹 숨기고 내게 같이 방을 구하자고 한 것이다. 그 사실을 알았을 때의 깊은 빡침이란! 이 사기꾼의 특기는 밑도 끝도 없는 들이대기.""나랑 한번만 자자. 응?""""저리가! 이 미친놈!""그리고 어느 날 갑자기 엮여버린 또 한 명의 게이.“그 녀석은 매일 봤을 테지? 자는 모습, 샤워하고 나온 모습, .."
애지중지 [BL]," 어린 동생들과 아픈 할아버지를 부양하며하루하루를 애쓰며 살아가는 스물두 살의 오메가 한고비.여상했던 아침, 그의 앞에 낯선 알파가 나타난다.명문가 종손으로 재벌가 자제인 현도제는 알파를 낳기 위해그에게 청혼을 하는데.“저와 결혼해 주시겠습니까.”“뭐, 애 하나 낳을 때마다 10억씩 준다면 또 모를까.”“한고비 씨가 원하신다면 그 조건, 들어드릴 의향이 있습.."
유연천리(有緣千里) [BL]," 극독에 당해 앓고 겨우 목숨을 부지한 서녕호가의 막내 도련님, 호현서.사랑받으며 자라던 현서의 인생은 예상치 못한 방향으로 흐르게 되었다.하나는 사람들을 구하고 죽은 검선(劍仙) 자문원이 자신의 전생임을 깨달은 것이고,다른 하나는 전생에 함께하던 옥팔찌와 재회해, 마음으로 대화하게 된 것이다.현서는 이 모든 것을 비밀로 하려고 했지만―“저는 검선께 구명을 .."
칼과 꽃 [BL]," 열여섯을 맞이해 제도로 돌아온 제국 제일의 권세가인 하남후의 후계자 연오는, 자신을 예신이라고 소개하는 사내와 마주하게 된다. 태자의 우익위라던 예신이 실은 태자라는 것을 알게 되고 모멸감을 느끼지만 그와 함께 있으면서, 왠지 자신과 닮은 그에게 심적으로 끌리게 된다.어차피 되돌려받을 수 없는 마음이었다. 그럴 수 있을 거란 기대도 없었다. 그런데 이 마음.."
그 알파 내 오메가 만들기 [BL]," “신하윤, 너는 오메가가 되어라!”“당신 미쳤어? 당신 눈엔 내가 알파로 안 보여?”“네가 알파든 베타든 내가 꼭 오메가로 만들어 준다.”“미친. 개소리하고 있네!”알파에게 오메가가 되라니.안하무인이 따로 없었다.“뭐 저런 개자식이 다 있어! 대체 내가 뭘 잘못했기에!”자신을 사랑한 여자의 자살을 막지 못했다는 죄책감으로 인해 밤마다 악몽에 시달리는 알파 .."
게이 앤 가이(Gay&Guy) [BL], 만년 단역 배우 이시언은 유명감독의 영화에 동성애자 역할을 맡아 직접 동성애를 체험하기 위해 게이바를 찾아간다.“나랑 한 번만 잡시다.”“이런 식으로 매번 파트너를 구하나 보죠?”“그건 당신이 알 바 아니고! 나랑 섹스 한번 해 봅시다. 무척 궁금해졌어요. 당신이.”원래는 동성 간의 섹스가 어떤지 궁금했으나 이제는 도도한 저 남자가 궁금해졌다. 저 도도한 ..
폐월회설 [BL]," ""네가 황후가 될 수는 없어도, 네 자식은 태자가 될 것이다.""무인으로 이름 높은 명문가 백씨 가문의 서자 백사윤.그는 우월한 형질을 가진 아름다운 음인이지만, 음인 아들을 원하지 않는 부친에 의해 제대로 배우지도 못한 채 저택 깊숙한 곳에서 갇히다시피 하여 자란다.어느 날 백씨 집안에 둘째 형의 친우이자 황제의 동생인 성친왕이 찾아오게 되고, 사윤과 우연.."
홈보이(Homeboy) [BL], ‘불행에도 주기가 있다. 그것은 복잡한 수식을 거쳐 나오는 0이나 1 따위의 정답처럼 꼭 맞아 떨어지는 것은 아니었다. 그러나 봄이 지나면 결국에는 겨울이 오고 마는 만고불변의 법칙처럼 시나브로 찾아와 흉포하게 내 삶을 들쑤시곤 했다’불행의 굴레에서 벗어날 수 없는 손여일과‘나는 맹세코 업어 키운 9살 연하의 남동생을 연애의 대상으로 고려해 본 적이 없었다..
공과 사 [BL]," 대한민국 서울중앙지방 검찰청에는 단연코 눈길을 끄는 두 명의 검사가 존재한다.특별수사 제1부에 속한 백승진 검사와 첨단범죄수사부에 속한 신우영 검사.고등학교 시절부터 대학, 사법연수원, 그리고 서울중앙지방 검찰청까지 이어진 두 남자의 질긴 악연!“오늘은 누가 깔리지?”깔리느냐, 혹은 까느냐―의 최대 기로에 서게 된 두 사람.공(公)적으로는 으르렁거리며, 사.."
친구는 못 해 [BL]," 행복한 사랑을 꿈꾸지만, 현실은 연애 호구인 송태호.그는 게이라는 걸 깨달은 이후 제대로 된 연애를 하지 못한 채 상대에게 휘둘리기만 한다.태호가 바라는 건 오직 하나, 평생 함께할 사랑하는 사람을 만나는 것.그런 태호의 곁을 묵묵히 지켜준 건 오랜 친구인 차민준이었다.좋은 직업에 잘생긴 외모, 다정하면서도 엄격한 성격의 민준은 태호의 유일한 친구였다.그런.."
불길한 손님 [BL]," ""현대를 배경으로 한 귀신이 나오는 호러물 대학생 영준에게는 소영이라는 여동생이 있다. 그런데 소영이 MT를 다녀온 뒤부터 이상한 병에 걸리게 되고 병의 증세도, 그녀 주변에서 일어나는 일들도 과학적으로는 풀 수 없는 기괴한 것들인지라 병원에서도 마땅한 대책을 세우지 못한다. 하루하루 죽어가는 동생을 구하기 위해 고군분투 하던 영준에게 어느 날 집안 어른이.."
알파였던 내가 [BL][단행본]," 한성 그룹의 유력한 후계자인 한강우.그는 우성 알파로서의 삶을 누리며 살아왔다.운명의 상대인 ‘짝’을 만나기 전까지는.한성 그룹 창립 기념일 파티에서한 남자와 스쳐 지나간 후 오메가로 발현해 버린 강우는설상가상으로 불운의 사고까지 당하고 만다.7년 후.사고로 기억을 잃게 된 강우 앞에 나타난 한 남자, 차의겸.그는 강우에게 일어난 사고가 우연이 아니라고 하.."
매시메리골드 [BL]," 나를 선택해요. ...이노가 상상도 못 할 만큼 잘해 줄게요.같은 회사에 다니는 애인과 동거 중이던 김인오는, 평생 함께할 줄 알았던 애인이 상사의 딸과 결혼하기로 했다는 사실을 알고 충격을 받는다. 심지어 상대가 뻔뻔하게도 결혼 후에도 인오와 관계를 지속할 생각이었다는 말까지 듣고, 인오는 그와 헤어지기로 결심한다.상처받은 마음으로 혼란한 가운데, 다니던.."
Rewind Time-되돌아온 시간 [BL], 내세울 거라고는 비주얼뿐인실력 없는 삼류 아이돌 천휘.어느 날 갑작스런 사고로 죽음을 맞게 되었다.내가 왜?왜 하필이면 나야?후회가 가득했던 삶.만일 다시 한 번 생이 주어진다면누구보다 열심히 노력하리라.그리고 돌아왔다.사고 전 가장 막 나가던 시기로.삼류 아이돌에서 진짜 가수가 되기까지아이돌의 인생 역전기가 시작됩니다![아이돌물/회귀물]
삼우부인 [BL], 려국에서 삼우 부인이라 조롱받는 은우와 그와 정략혼인한 환의 이야기.
내겐 너무 야한 그대 [BL][외전포함]," “선배, 어제 저 덮쳤잖아요. 나 책임져요.”“콜록-, 콜록-”나는 학생식당에서 강찬영과 밥을 먹고 있는 중이었다. 그런데 처음 보는 녀석이 다가와 갑자기 의자를 빼고 내 옆에 앉더니 헛소리를 지껄여댔다.나는 그 말을 듣고 놀라서 콩나물국을 먹다가 콩나물대가리가 목에 걸렸다. 기침이 폭포수처럼 쏟아졌다. 내 앞에 앉아있던 강찬영은 녀석의 말을 듣고 질색하는.."
외사랑: 너를 보며 [BL]," 소심하고 착해 빠졌기는 해도 동글동글 귀여운 이형이와잘 나가는 유아독존 연예 기획사 사장, 준혁의 좌충우돌 연애가 시작된다. 소심하지만 근성만으로 예능계에 자리 잡은 이형이는 톱스타 강지용과 은밀하게 사귀고 있었지만, 사귄지 2년째 되던 날, 우연히 그의 외도 사실을 알게 된다. 어린 걸그룹 멤버과 열애설까지 난 마당에 착한 형이는 화도 내지 않은 채로 그.."
백호와 복사맨 [BL]," 남자 신입사원, 백호에게 시집가다!? “너 내 새끼 가질 수 있어.”반려를 찾아 인간세상으로 온 백호랑이,순진하지만 당돌한 신입사원 배칠성을 만나다.“이름이 마음에 들어. 내일부터 출근하세요.”후계를 이어줄 반려를 찾아 인간세상까지 내려오게 된 백호는 인세에서의 신분, 무역회사 사장이 되자마자 신입사원 면접을 보게 된다. 그리고 만나게 된 순진한데다가 약간.."
남자 좋아하면 안 돼요? [BL]," 서로에게 애정을 갈구하고 퍼붓기도 하는 염장커플?카페 한 사장과 공업소 강 사장은 정말 무슨 사이일까?유산으로 서울에 빌딩 하나는 소유하고 있고, 그 건물 1층 ‘SOL's life’ 베이커리 카페의 사장 한솔은 자신의 성 정체성을 밝히는 것에 대해 매우 소심한 인물이다.평소와 같은 퇴근길의 어느 날, 갑작스런 교통사고로 인해 상대편 운전자에게 봉변을 당할.."
슈든 터치 잇 [BL]," 고등학교 후배였던 알파 은현상을 학창시절부터 남몰래 좋아했던 베타 박일태. 같은 대학에 입학한 뒤에도 현상을 향한 마음을 막지 못하던 그는 군 제대 이후 은현상이 연출로 활동하고 있는 뮤지컬 동아리에 들어간다. 그러나 현상에 대한 감정이 고스란히 적힌 일태의 수첩이 학내 익명게시판에 공개되면서 현상을 포함한 모두가 그의 마음을 알게 되고, 이에 현상은 일태.."
