제목,요약
사내 이혼 부부," 이혼하기 쉬워 보여서 선택했다.“정다미 씨. 결혼이 하고 싶다고 했죠?”“네.”“그럼 나랑 합시다.”정다미는 괴물 같은 양부모에게서 벗어나려고 한재혁 성진유통 전무의 제안을 받아들인다.서로의 필요에 의한 계약결혼.필요가 다한 뒤에 당연하다는 듯이 기다리고 있던 이혼. 다미는 상처를 딛고 일어나, 동경하던 회사에 취직해 꿈을 펼치려는데......전 남편 한재혁이 왜.."
내 남편과 결혼해줘 [독점]," ""좀 봐주라, 응? 산 사람은 살아야지. 넌 어차피 죽을 거잖아, 흑.......""시한부를 선고받은 내 앞에서, 하나뿐인 친구가 애처롭게 울었다. 나는 그 시한부조차 채우지 못하고 남편의 손에 죽었다. 그리고.""지원 씨, 점심시간 다 끝났어!""10년 전, 내가 다니던 회사에서 깨어났다.죽음 이후에 주어진 또 한 번의 삶. 운명을 바꾸려면 내 시궁창 같은 운명에 누.."
미래가 나타났다," “말도 안 돼! 제가 낳은 아이가 맞다고요? 저는 여태 남자 손 한번 잡아본 적 없는데요?”친자확인 검사지는 자신이 낳은 아이라고 이야기하고 있었다.“받아들이는 건 천천히 그쪽이 알아서 하고. 이 아이를 어떻게 할 건지 당신과 내가 이야기를 나눠야 할 것 같은데.”미래에서 나타난 아이, 혜이.생판 모르는 사이였던 생물학적 부모, 로건과 유이.부부인 듯 부부.."
이토록 치명적인 결혼 [독점]," “가르쳐달라고. 사랑할 테니.”후견인의 아들과 결혼한 지 1년. 제게는 예정됐으나 그에게는 아닌, 이혼을 통보했다.이에 강우는 1년 후 합의란 조건을 다는데.“정 이혼해야겠다면 더 독하게 굴어봐.”“강우 씨.......”“사정없이 밀어내라고. 감당 못 할 지경으로.”굽어진 장대한 상체에 반지르르한 얼굴이 코앞에서 아른댔다. 강인한 눈매, 은은히 풍기는 무거운 사향.."
함부로 범하는 [선공개]," “벗어라.”그가 차갑게 명령했다.절절하게 여인의 진심을 묻던 사내는 더는 없었다.“오늘 밤, 내 여인을 품을 것이다.”그깟 진심 따위, 마음 따위에 더는 연연하지 않겠다는 듯.그저 허탈한 웃음을 지어 보이는 왕만이 남아 있을 뿐이었다.***범에 관한 기이한 전설이 내려오는 서린국.그곳의 세자 이서는 사냥터에서 우연히 한 여인을 마주한다.얼어붙은 손으로 약초.."
동녘과 백야 [독점]," 대한민국의 유통업계를 꽉 잡고 있는 동녘 그룹의 최종 실세, 검은 재규어 하무경 상무.그룹의 주인이 되기 위해선 작은 백야마을을 쓸어버리고 동녘의 왕국을 세워야 한다.임무는 쉬웠고 계획은 아주 완벽했다.백야마을의 지킴이라 불리는 채요원 순경, 너를 만나기 직전까지는.“채 순경님, 나는요. 채요원 순경한테 좀 많이 꼴립니다.”너를 만나고, 난.“나 채요원 순.."
너로 물든 밤 [선공개]," “신부가 필요합니다. 내가 원하는 대로, 인형처럼 움직여 줄 수 있는.”W 그룹 후계자, 더러운 사생아.상반된 타이틀을 가진 남자가 이상한 제안을 해 왔다.“소꿉놀이한다고 생각해요.”“.......”“그렇게 어려운 일은 없을 겁니다.”그 말을 믿고 계약을 수락했지만,“더 벌려요. 나 똑바로 보고.”“이렇게 젖었으면서 다른 남자 앞에서 웃었어요?”이런 건 소꿉놀이라.."
아프다는 걸 알면서도," “다른 남자 만나고 싶으면 만나도 좋아.”“.......”“대신 결혼은 나랑 해. 부부 관계든 뭐든 다 해줄 수 있으니까.”“.......”“단, 사랑만 빼고.”7년동안 마음에 담았던 남자, 차지헌이 청혼했다.그것도 최악의 모습을 그에게 들켰을 때, 저런 조건을 달면서.오직 사랑만 바라는 연수에게 그의 말은 너무도 가혹했다. “사랑, 안 바랄게요. 대신 아이를 가지고 싶.."
뜨겁게 안기다, 최고의 영화감독이 되겠다는 꿈 하나로 버텨 왔던 성연.그녀가 2년도 넘게 만났던 남자 친구는 여자들을 등쳐먹고 다니는 사기꾼이었다.“단 한순간이라도 나를 사랑한 적 있었어?”“내가 누군지 뭐가 그리 중요해. 나를 사랑한 건 네 선택이었으니 책임도 네가 져야지.”떨리는 목소리로 물음을 던졌지만 돌아오는 것은 가스라이팅뿐이었다.그렇게 천둥 번개가 치던 어느 밤..
짙은 탐닉 [독점][외전 포함]," “유 비서가 원한다면 이 결혼, 내가 엎어줄 수 있어.”확신에 찬 목소리였다.은하는 들고 있는 부케를 꼭 그러쥐며 입술을 짓이겼다.“시간이 없을 텐데.”휘경이 손목으로 시선을 내렸다. 초조해하는 그녀와는 달리, 그는 무척이나 여유로웠다.마치, 이 제안을 거부할 수 없다는 듯.한 시간 후, 원치 않는 결혼을 앞둔 그녀에게 건넨 달콤한 유혹.그녀를 샅샅이 훑어.."
내가 버린 남편 [독점]," 아이를 빼앗겼다.그것도 가장 사랑했던, 지금도 잊지 못하는 전남편에게.“돌려줘요, 내 아이.”“내 아이?”지혁이 실소를 터트렸다. “그게 아니지, 너와 나, 우리의 아이지.”“당신 아이, 아니에요.”“아니라고?”지혁이 픽 웃으며 몸을 일으켰다. 다가온 그가 귓가에 속삭였다.“그럴 리가. 네가 내 밑에서 울던 그 밤이 지금도 생생한데.”  소연의 입술이 파르.."
야누스의 밤," “너 내 앞에서 한 번만 더 가슴 테이블에 얹어 두면 공연음란죄로 신고할 거야.”  대학교 4학년, 반주현은 그 시절 만인의 왕자님이자 지아의 첫사랑이었다.그가 이유 없이 굽히는 모습을 본 적이 없었다.사실은 자존심도 고집도 넘치는 남자가 그녀에게는 뭐든 져 주곤 했다.잘못한 것도 없으면서, 네 기분이 나쁘니 내 잘못이라고 했다. “미안해.... 우리 헤어지자.."
임신 계약서 [선공개]," “내가 다른 여자와 결혼해서 네 애를 키우는 꼴을 볼 수 있어? 나는 너랑 결혼 안 해. 애만 낳을 거야, 임신을 위한 계약을 하고 싶다는 뜻이지.”빈말이라도, 거짓이라도 나를 좋아한다고 말했다면 이런 계약서는 들이밀지 않았을 것이다.* * *못된 오빠 친구, 차도원.연우의 첫사랑이자, 처음으로 간절하게 욕심냈던 남자였다.업둥이로 길러진 연우에게 닿을 수 .."
불온한 세자저하," 불온하기 짝이 없는 엄혹한 세자와 길고 가늘게 살고 싶은 궁녀의 얽히고설키는 궁중 로맨스. ***강변의 갈대가 스산하게 바람을 타는 깊은 밤.갓 태어난 아기가 상자에 담겨 강에 버려졌다. 20년 후.술주정뱅이 아비와 다리를 저는 어미를 둔 연이.실제적 가장 노릇을 하는 그녀는 궁궐 동궁전의 세답방 무수였다. 
				  "
불온한 탐닉 [선공개]," “내 아들 유혹해서, 임신해 줘요.”하나뿐인 딸은 희귀병이었고, 병원비는 감당하지 못할 만큼 커졌다.남편 없이 홀로 노을을 키우는 서우에게는 거부할 수 없는 제안이었다.“대신 명의에게 아이 수술받게 해 줄게요.”그렇게 만난 남자는.“차태주입니다.”그 남자였다. 오 년 전 서우의 삶을 송두리째 흔들었던 그 사람.목소리와 말투, 게다가 말을 내뱉은 입술의 모습.."
이렇게라도 닿아서 [독점]," “잘, 지냈어?”“네, 저는 잘 지냈어요.”“그래 보여. 억울하게도.”성북동 도련님, 장남의 막내 아들, WS그룹의 차기 후계자.별채에 살던 그녀에게 강재혁은 처음으로 좋아한 사람이었다.우상이자, 추억이자, 고백 한번 해 보지 못한 미련.“지금 이 상황, 네가 내 바짓가랑이 잡고 부탁해야 할 상황 아닌가. 너 부탁 잘하잖아.”“그건, 옛날 일이고요.”흔적도.."
내 아내의 아이 [선공개]," “그 아이, 낳을 건가?”평생을 새장에 갇힌 것 같은 감시와 압박 속에 살아온 지수는 결혼을 앞두고 단 하루의 일탈을 감행한다. 그리고 눈을 떠 보니 일탈의 밤에 대한 기억은 모두 사라지고 자신의 몸속엔 새 생명이 자라고 있다.“얼굴도 모르는 남자의 아이를 가진 채로 당신과 결혼할 수는 없어요.”“상관없습니다. 내가 말한 두 가지를 지킨다면 우리 결혼은 예.."
부부의 의무 [독점]," 종종 같이 자게 될 거야. 당신 방보다는 내 방이 더 나을 테니 내 방으로 하지.”반년 만에 돌아온 저택, 세현의 목소리가 귀를 파고들었다.“그게 무슨...... 말이에요?”“리스였다며, 그렇다면 각방을 썼겠지.”허울뿐이었던 2년 6개월의 결혼생활.조금의 틈도, 다진의 손이 닿는 것조차 허용하지 않았던 세현은 냉정하고 무심한 남편이었다.그래서 다진은 도무지 그의 .."
밀회 [독점]," “......나, 부사장님한테 아무것도 아니잖아요.”이서가 울먹이며 속삭였다.“......당신 입으로 직접 그랬잖아.”“.......”“......아무것도 아니라고.”그 말을 뱉는데, 이상하게 목 한구석이 시큰했다.설마 기대했던 걸까.이런 순간까지도, 이 남자에게 특별해지기를.“맞아, 그 어떤 것도 아니지.”침묵하던 재열이 한숨 같은 웃음을 내뱉었다. 그는 싸늘하게 가라앉은 얼굴로 이.."
어린 상사 [독점]," 내가 키운 아이가, 남자가 되어 나타났다. 지루한 연애 끝에 결혼을 앞둔 평범한 직장인 강시현.  어느 날, 새로 부임한 일곱 살 연하의 본부장은 다름 아닌 그녀가 초등학교 2학년 때부터 키운 아이, 윤태하였다. “너 나한테 이러면 안 돼. 세상이 멸망해서 마지막 남은 남자가 너라도 우린 안 된다고!” 그토록 귀여웠던 어린아이가, 어느덧 남자의 눈빛으로 그.."
다정하지 않은 너에게 [독점]," “그날은, 잘 들어갔습니까?”10년 만에 처음으로 수면제 없이 단잠을 잤다.하룻밤 상대일 거라 생각했던 여자,이름과 달리 전혀 다정하지 않은 한다정의 품에서.“설마, 나 스토킹했어요?”“내 주치의가 말하길, 자의식 과잉도 병이라던데.”감히, 천하의 백준도를 하룻밤짜리라 말하는 여자인데.난생처음 집착이라는 걸 해 본다.어쩌면 이 여자가 지독한 불면증의 열쇠일.."
