제목,요약
버림받은 왕녀의 은밀한 침실 [독점]," 「사랑을 모르는 여인이여, 쾌락의 즐거움을 알게 될지어다.」한땐 추앙받았지만 비참하게 버림받은 왕녀, 르웰린에게 내려진 색욕의 저주.저주의 폭주를 막기 위해서는 사내와 밤을 보내야 한다! 그녀는 결국 자신의 은밀한 침실을 열게 되는데.......성검의 영웅이 되어 귀환한 소꿉친구 앨먼다이트,바위처럼 무뚝뚝하지만 어째서인지 주변을 맴도는 기사단장 트리스탄,아름답지만.."
신이 내 기도를 들어줬다," 푸르트의 황후는 특별했다. 고귀하고 성스러운 존재, 성녀. 무너져가는 나라에 성녀는 빛이자 구원이었다. 세상은 그녀를 사랑하고 경배했다.“목숨줄을 틀어 잡힌 날이야. 내 목에 기어코 목줄을 채운 날이라고, 저 여자가!”하지만 황제는 황후를 증오한다. 목줄을 채우고 목을 비틀어대는 황후를 경멸해 마지않는다. 가증스럽기만 한 원수의 딸. 그 이상도 이하도 아니.."
무협지 악역을 살짝만 고쳤습니다 [독점]," 무협지 배경 시대에 환생했다.외로웠던 전생과 달리, 사랑하는 가족들과 함께하는 현생이 정말 좋다!그렇게 새롭게 주어진 삶에 감사하며 평화로운 시간을 보내던 어느 날.달갑지 않은 불청객 한 명이 불쑥 일상을 파고든다.상대는 재수 없고 무뚝뚝한 객식구, 영호량.......뭐, 자세히 보니 그렇게 나쁜 놈은 아니라서 어찌어찌 남매처럼 지내게 됐지만,알고 보니 이 녀석은.."
악당 가문을 갱생시키면 [독점]," “공작님의 친딸을 찾으러 왔습니다.”내 나이 4살, 본의 아니게 전생에서 읽었던 소설 속 악당 공작의 사기극에 공범이 되고 말았다.아니, 악당 공작가에 평범한 내가 왜 필요한 건데요?멸문에서 살아남기 위해서는 악당 가족이 흑화하기 전, 그들을 갱생시켜야 한다!“역시 어딜 가나 내 딸이 가장 빛나는군.”“가기 싫으면 가지 마, 황제건 황태자건 무시하면 그만이.."
황제 폐하와 대공 전하는 특별수사국 비밀 요원..," 태어나자마자 신전에 버려진 아이네스.그녀는 황실 대대로 내려오는 저주와 같은 예언을 타고난 황녀이다.아이네스는 자신의 운명을 거스르려 발악해 보았지만, 어째서인지 결국 황궁으로 돌아오게 된다.그녀를 눈엣가시로 여기는 황비와 황자. 그들의 방해와 핍박에도 불구하고 아이네스는 당차게 황궁 생활에 적응한다.그러나 행복을 꿈꾸던 약혼식 날은 반란의 밤이 되고, 아.."
함부로 친절하지 말라 [독점]," 그녀는 스물한 살에 모든 걸 잃고 은퇴했다. 뛰어난 검술도, 마법도, 심지어 체력까지 원인도 모른 채 잃고 말았다.비웃음과 손가락질을 피해 칼레타 제국을 떠나 시골에서 조용히 살아가던 전직 천재기사 루스티카 제너스.어느 날 시골 술집에 존재할 리가 없는 엄청난 미남을 발견하곤, 취한 김에 일을 저지르고 마는데. “남의 순결을 가져갔으면 평생 책임져야죠, 루.."
후회는 필요 없습니다 [독점]," “그래서 당신 말은, 당신이 남편과 이혼 할 수 있도록 도와달라?”사랑하는 남편, 하나뿐인 소중한 친구.하지만 죽음을 앞둔 순간, 세리니엘은 깨달았다. 모든 것이 거짓이었다는 사실을. 살아돌아와, 세리니엘은 복수를 다짐했다. 그러기 위해서는 괴물이라 불리는, 렉시온 로젠베스터가 필요했다. “딱 1년. 평생 결혼 관계를 유지하자는 게 아니에요. 공작께서도 이.."
죽음은 잠 못 이루고 [선공개]," ""난 그대 없인 잠들지 못 해.""​척박한 북부에서 매일 검을 들던 가난한 백작 영애, 아마리온 아마리.그녀는 어느 날 '걸어 다니는 죽음' 이라 불리는 제국의 대 귀족, 모르트 대공의 청혼을 받는다.아내가 되어달라고, 그러면 모든 것을 다 주겠다고.​거절할 수 없는 제안을 받아들이고 맞이한 첫날 밤,대공은 그녀에게 알 수 없는 부탁을 한다.    ​""밤새 .."
버려진 나의 최애를 위하여 [독점]," N차 정주행을 했을 정도로 좋아한 로판 소설에 빙의했다.평민이지만 돈 많은 평민의 몸에 빙의한 덕분에,나는 몰락 귀족의 신분을 사 귀족가의 연회를 다니며 원작 속 인물들의 로맨스를 관전했다.그렇게 엔딩까지 보고 현실로 돌아가나 싶었는데.......웬걸, 엔딩 후에도 빙의에서 풀려나지 않고 원작 속에서의 인생을 살게 되었다.그러다 보니 알고 싶지 않은 비하인드 이야.."
여름 달밤에 눈은 나리고," 맹주 부인 백화. 그녀는 뛰어난 의원이었으나, 사랑받지 못하는 여인이었다. 끝내 첩의 계략에 딸을 잃고 요녀로 몰려 목숨까지 잃었다. 십 년 전으로 되돌아온 백화는 전생과 다른 길을 걷고, 의선(醫仙)으로 추앙받게 된다. 그런데 달라져도 너무 달라졌다.“너 같은 누이를 바랐는지도 모르겠구나.”오라버니로 불러달라는 병부상서의 외아들“조금 섭섭합니다. 늘 저를.."
목표는 위자료입니다 [독점]," 『난 당신이 뭘 하든 신경 쓰지 않을 테니, 당신도 내 일에 관여하지 않았으면 좋겠군.』“결혼식 전에 확실히 말해두고 싶은 게 있어.”디프린은 몸을 돌려 이벨린을 응시했다.“난 당신이 뭘 하든 신경 쓰지 않을 테니, 당신도 내 일에 관여하지 않았으면 좋겠군.”“.......”“당신에게 손끝 하나 댈 생각이 없다는 것도 알아둬. 물론 방도 따로 쓸 거고.”디프린은 .."
로잘린 보가트 [독점]," ""제 환심을 사려는 노력이라도 하세요, 전하. 또 모르죠. 남편이 어여쁘면 시가에 돈벼락이라도 떨어뜨릴지.""보가트 상단의 미운 오리 새끼, 로잘린 보가트.칼라브리아 왕국 최고의 미인, 왕세자 로비엔 피베체 르 칼라브리아.태생부터 닿지 않았어야 할 평행선 같은 두 사람,왕가의 파산을 막기 위해 혼인 동맹을 맺다.이것은 운명일까, 신의 장난일까?"
대리 황후지만 첫날밤을 보내버렸다 [독점]," “폐하, 첫날밤이 가능하시다고요?!”망했다. “황후, 그게 무슨 서운한 소리야, 내가 얼마나 건강한데?!”속았다. 들었던 거랑 달라! 황제는 분명 여인에게 관심이 없다고 해서 안심하고 대리 황후가 된 건데! 그나저나, 끝까지 내 정체를 들키지 않고 여기서 살아나갈 수 있을까? ......걱정도 잠시, “내 몸에 손댈 수 있는 여인은 그대뿐이다. 날 다른 후궁들과 .."
하렘의 남자들 [독점]," “왜 저는 한 남자와만 결혼해야 합니까?” 여황제, 제국 최초의 하렘을 선언하다! “역대 선황들께선 후궁을 최소 다섯 명, 평균 열다섯 명 두었습니다. 이제 제가 황제가 되었으니, 저도 최소 다섯명 이상은 후궁으로 두어야겠습니다. 재상 아들이요? 대상의 후계자요? 제가 좋다면 하렘으로 들여보내세요. 보고 마음에 드는 사람을 황후로 삼을 것입니다.”"
그녀가 대공에게 간택당한 이유 [독점]," “그냥 평소처럼 막 대해주셔도 돼요.”“...감당할 수 있겠나?”“네?”“버거울 텐데.”입술을 꽉 깨문 베레이트가 비릿하게 웃었다.“다나 양이 물었지. 내게 당신은 여자냐고.”당신의 자색 눈이 지독하게 빛났다.“그래.”이국적인 미모로 사교계에 오르내렸던 다나.귀머거리가 되어 약혼자에게 버림받고, 가문에서 밥버러지 취급을 받으며 하루하루 숨죽이며 살아갔다.평생 .."
폭군 남편과 이혼하겠습니다 [독점]," 로판소설 속 황후에게 빙의했다. 좋은 거 아니냐고? 문제는 이 황후가 간사한 황비에게 밀려서 황제에게 박대당하고 결국 병으로 죽는 조연이라는 것이다. 원작 황후처럼 청승떨며 냉골에서 내 님 언제 오시나 기다리다가 죽을 순 없었다. 이혼당하기 위해서 악녀가 되어야겠다. 국고를 박살낼듯 사치도 부리고, 남들 앞에서 막말도 하고, 남편도 괴롭혔다. 그런데 독하게.."
엑스트라 단역이 너무 취향입니다 [독점], 소설 속 악녀에 빙의했다!남주를 좋아해서 갖은 이용만 당하다 버려지는 비운의 악녀 '브로디'에게로.설상가상 남주를 돕기 위해 그의 적인 북부대공을 독살하려던 시점에 빙의하고 말았다.원래대로라면 독살에 성공하지만.......‘내가 왜 일면식도 없는 사람을 죽여야 해?’게다가 엑스트라에 불과한 북부대공이 너무나도 그녀의 취향이었다.저렇게 멋있고 섹시한 남자가 ..
웰링턴 2가 495번지 [독점]," 강력계 8년차, 영원히 고통받던 막내 형사의 삶에서 백작 가문의 금지옥엽 외동딸로 환생했다.헌신적인 미남과 아기자기한 일상을 꾸리는 것만을 인생의 목표로 삼아 살아왔건만,사촌오빠의 느닷없는 죽음으로 인해 평화롭기만 하던 일상이 단번에 달라진다.남다른 통찰력을 숨기지 못하는 바람에, 왕국 치안대의 젊은 경무관 이아텔로스에게 헤드 헌팅을 당한 루시.'치안 자문.."
