제목,요약
화산귀환 [독점]," 대 화산파 13대 제자. 천하삼대검수(天下三代劍手). 매화검존(梅花劍尊) 청명(靑明)천하를 혼란에 빠뜨린 고금제일마 천마(天魔)의 목을 치고 십만대산의 정상에서 영면. 백 년의 시간을 뛰어넘어 아이의 몸으로 다시 살아나다. 그런데...... 뭐? 화산이 망해? 이게 뭔 개소리야!?망했으면 살려야 하는 게 인지상정.""망해? 내가 있는데? 누구 맘대로!""언제고.."
사상 최강의 무림맹원, [특기]#방화 #목젖뽑기 #독살 #심장터뜨리기 #이간질 #음모미친 악당이 정의로워져 돌아왔다.
절대 검감(絶對 劍感) [외전포함], [제5회 대한민국 웹소설 공모대전 수상작] 혈교에 납치되어 첩자로 살아보니 깨달았다.가문에서 쓰레기라고 버림받았던 시절만도 못하다는 사실을.
일타강사 백사부 [독점]," 혈교 최고의 무공교관, 시골 무관의 사부로 환생하다."
광마회귀 [독점]," 미친 사내가 미치기 전의 평범했던 시절로 돌아간다면.사내는 다시 미치게 될 것인가? 아니면 사내의 적들이 미치게 될 것인가.광마 이자하, 점소이 시절로 회귀하다."
나노 마신(喇勞 魔神), [제3회 대한민국 웹소설 공모대전 대상 수상작]마교의 소교주가 되기까지 서열 순위 최하위에 해당하는 천여운 지지리도 운이 없는 그의 인생이 송두리째 바뀐다.어느날 갑자기 미래에서 나타난 후손이 그에게 나노 머신을 주입했다.
천마는 조용히 살고싶다, 새로 얻은 삶을 조용하고 평화롭게 살고 싶은 천마의 이야기.
모든걸 기억하는 천재무사 [독점]," [2021 지상최대공모전 수상작!!!]모든걸 기억하는 삼류무사 진소운 40년 전 마교가 재림하기 전으로 회귀하다.과거로 돌아온 사실이, 딱히 날더러 세상을 구하라는 신호로는 보이진 않는다.‘그랬다면 최소한 뭔가 특별한 능력을 주거나 장삼봉 조사의 영혼 같은 거라도 붙여줘야 했을 테니까?’답 없는 삼류 문파인 사문.미천하기 그지없는 무의 재능.되돌아왔다는 걸.."
마도전생기 [독점]," 한평생 자유를 꿈꿨지만, 한순간 자유를 놓쳤다.눈앞에서 놓쳐 버린 자유에 절망을 안고 나락으로 떨어지는데.“뭐지, 이 화려한 방은? 뭐야, 이 젊은 몸뚱이는?”묘하게 불안하네.에이, 설마 그쪽 동네는 아니겠지?“신교불패(神敎不敗), 만마앙복(萬魔仰伏). 삼공자님의 쾌유를 경하드리옵니다.”“......신 뭐?”정파연합의 비밀병기 천하진, 천마신교 삼공자 서량으로 전.."
어중간한 문파의 천하제일인 [독점]," 천하제일고금 절대 고수이자 무림의 공적, 천마의 목을 베고 사망한 유진.깨어나 보니 60년 뒤, 망해가는 천뢰문의 둘째 공자가 되었다!유진의 공적이 모두 사라진 무림과 그에 숨겨진 과거의 진실.문파를 재건하고 천마의 부활을 막기 위한 유진의 강호행이 시작된다."
절대군림 [개정판]," 왼손에는 군자검을, 오른손에는 지옥도를 든 천하제일 과일상 행운유수의 장남 적이건. 그의 유쾌하고 신나는 강호제패기“문파를 세울 거야. 이 강호에서 가장 강하고 멋진.”절대마신, 절대강호의 작가 장영훈의 또다른 절대 시리즈, 이제 개정판으로 만나보자!"
망황기 [독점]," *이 작품은 我吃西红柿의 소설 를 한국어로 옮긴 것입니다.어느 날, 눈을 뜨니 저승! 다행히 전생의 공덕이 적지 않았기에, 기영은 저승의 보물인 여와도를 통해 ‘관상법’을 전수받고 천계로의 환생까지 약속받는다.그런데 갑자기 저승을 침략해오는 정체불명의 침략자들.혼란 중에 기영은 갈라진 땅속으로 빠져들고, 약속했던 세상은커녕, 혼란과 무질.."
칼에 취한 밤을 걷다, 악인의 제자 진소한.흑도가 지배하는 고향에 돌아오다.
천하제일 대사형 [독점]," 정사대전이 끝나고 2년, 고향으로 돌아온 최강의 대사형 혁무상. 그가 원하는 건 사랑하는 사제들과 작은 무관을 꾸리는 것 하나뿐이다. 하지만 무림맹의 여협 모용검화를 시작으로 과거의 인연이 이어지고, 혼탁한 강호는 대사형의 분노를 재촉하는데....... “사부님이나 사제들에게 무슨 일이 생기면...... 나 완전히 돌아 버릴지도 몰라.”"
전생검신, 나는 고수지망생이었다.무공에 입문한지 45년째.강호에서 내 경지는 잘 쳐줘야 이류일류의 경지는 꿈도 꾸지 못한 채허름한 초막에서 육합검법이나 수련하는 신세.“재능 없는 놈은 죽으란 말이냐?그럼 죽겠다.죽고 나서 또 다시 도전해주겠다.세상을 죽여 버릴 때까지!”구로수번 퓨전무협 장편소설
시한부 천재가 살아남는 법, 무시무시한 재능을 지녔지만 단명할 체질. 몸을 고치고자 한다.
일홀도 [독점]," 일홀문(一忽門)!무인 십만 명에게 무공을 가르치면, 한두 명쯤은 진짜 검귀가 탄생한다.초식에 구애받지 않고, 진기 고하(高下)나 경륜 같은 것에도 아랑곳하지 않고.마주 선 상대를 무조건 베어내는 진짜 강한 놈이 나타난다.그놈이 일홀이다."
하북팽가 막내아들," 방계라는 신분의 한계를 넘어서고 도왕이라 불린 팽지혁.방구석의 둔재, 하북팽가 사공자로 환생하다."
천마육성 시뮬레이션 [독점], [화면을 선택해 주세요]▶ 처음부터 시작한다.▷ 계속 이어서 한다.▷ 저장한 지점을 불러온다.
천화서고 대공자 [독점]," 무림맹주이자 천하제일인 후공.천화서고 대공자와 환혼되다.무림맹주의 무료한 삶에 찾아든 활력이라기엔 심히 당혹스럽다.이걸 내가 고마워해야 하는 거냐,아니면 성질을 내야 하는 거냐!바뀐 몸의 상태는 또 왜 이렇고! 삶을 비관하며 방에만 처박힌 채 아무런 움직임도 보이지 않다가어느 날 갑자기 활달해진 천화서고 대공자를,이제 온 강호가 주목하기 시작한다."
난가기연 [독점]," * 이 작품은 真费事의 소설 을 한국어로 옮긴 것입니다.평범했던 한 젊은이 앞에 나타난 신비로운 바둑판.그리고 그 젊은이에게 주어진 기이한 능력.세상이 곧 바둑판과 다름없으니, 백돌과 흑돌로 천하의 운명이 좌우되리라!바둑판은 평범한 현대인이었던 계연에게 다른 생을 선사하고, 계연은 대정국이라는 새로운 세상에서 눈먼 육신으로 살아가게 된.."
망나니 소교주로 환생했다 [독점], 2019 지상최대공모전 수상작!정파의 아들. 무림맹주의 일남 양자각.고금제일의 기재로 불렸으나 이립이 되기도 전에 독살당하다.- 천기무림백서 中눈이 떠졌다. 잿빛처럼 하얀 피부에 앙상하고 길쭉한 체형. 기생처럼 반반한 생김새.“설마......!”아닐 것이다. 그럴 리가 없다. 서둘러 사타구니를 들춰보았다.“휴우....... 사내구나. 그리고...... 제법이네.”생긴 거 빼곤 ..
화타가 된 외과의사," 『신성괴의』 『불량학사』 『주먹의노래』 『주먹의품격』『몽왕괴표』절대적 감수성의 작가, 박동신!그가 선사하는 새로운 무협의 이야기!정의로운 성격 때문에 전문의는커녕 목숨까지 잃은일반외과 전공 3년차 한진수.천사인가, 악마인가, 아님 알 수 없는 시스템인가.평소 쌓은 선행 덕분에 부활의 기회를 얻게 된다.산적 떼에게 죽은 몸으로 부활하게 .."
환생표사, 내 꿈은 표사가 되어 멋진 말을 타고 표물을 호송하는 것이었다.그러나 절름발이에 변변한 무공조차 익히지 못했던 나는 평생 허드렛일이나 하는 쟁자수로 살았다.어느 날 표행 중에 만난 산적들에게 쌍욕을 시전하며 저항하다가 뒈지기 전까지는....
절대외공 [독점]," 함주권왕가의 소가주인 이검명은, 어린 시절 입은 화상으로 인해 추한 외모와 무공을 익힐 수 없는 몸이 되고 만다.혐오와 멸시를 받으며 남의 눈치를 보는 삶을 살던 그는, 이렇게 살 바엔 차라리 절벽에 몸을 던져 스스로의 삶을 마무리하고자 한다.그러나 생을 포기하려 몸을 던진 무저갱에서 정체를 알 수 없는 신비스러운 존재와 계약하는 기연을 얻게 되는데.......절.."
괴력 난신(怪力 亂神)," 공자께서는 괴이(怪異), 용력(勇力), 반란(叛亂), 귀신(鬼神)에 대한 것을 말씀하지 않으셨다."
마교서생 1~2부," 무협의 대가 북미혼의 역작. 한순간도 눈을 뗄 수 없는 흡입력! 『마교서생』천하제일의 내공과 절세의 무공. 모든 것을 다 가진 마교의 소교주, 단리천악! 하지만 그의 목표는 다른 곳에 있었으니...... 다름 아닌 어머니의 유언이었다. “너만은 할아버지처럼 학사가 되면 좋겠구나.” 최고의 자리를 버리고 강호로 나온 단리천악. 그런데 뭐 이리 거슬리는 게 많은지! .."
마도귀환록 [독점], 천마신교(天魔神敎) 칠공자(七公子) 명운(明雲).골육상잔(骨肉相殘)의 권력 투쟁을 피해 초야에 은거하다.하나 그것만으로는 비극을 피할 수 없었다.그는 죽음 앞에서 생각했다.빌어 먹을!이렇게 끝나 버린다고?제대로 싸워 보지도 못한 채 끝낼 수는 없다!
천재 무림 트레이너 [독점]," 대형 휘트니스 센터 사장 최강혁.눈을 떠 보니, 소림사 동자승이 되었다."
마교전선 비룡십삼대 [독점]," 죽음에서 돌아온 나는 스스로 다시 지옥으로 걸어 들어갔다.나를 무인으로 만들어줬던 그곳, 대 혈마교 전선으로.이번 삶에서는 아무것도 잃지 않으리라.친구도, 가족도, 내 생명도.그리고 부숴내고 말리라.내게서 모든 것을 강탈해갔던 혈마교를."
환생천마, 철혈(鐵血)의 맹주라 불리던 천하제일인 무신(武神) 천하진. 벽씨검문의 망나니 벽리단으로 환생하다!1-1권: 1∼81-2권: 9∼161-3권: 17∼252-1권: 26∼332-2권: 34∼412-3권: 42∼503-1권: 51∼583-2권: 59∼663-3권: 67∼754-1권: 76∼834-2권: 84∼924-3권: 93∼1005-1권: 101∼1085-..
태존비록(怠尊秘錄)," 『태존비록』천하의 겁난을 종식시킨 위대한 무인.광휘무존(光輝武尊) 위연호(魏衍澔).그는 군자(君子)였으며, 대인(大人)이었고, 대협(大俠)이었.......""그 인간, 그거 완전 인간 말종이거든.""차마 세상에 알릴 수 없는 진실.고금제일대협의 실체가 낱낱이 밝혀진다!"
천마신교 최강 막내제자 [독점]," 2021 지상최대공모전 수상작!“명심하게, 그대가 본 교의 유일한 희망이라는 사실을.”대천산의 깊은 눈 속에 잠든 지 십 년. 다시 세상 밖으로 뛰쳐나왔을 때, 이미 천마신교는 존재하지 않았다.천마의 마지막 제자 운휘.자신만의 새로운 마교를 꿈꾼다."
사부님들이 구독 중 [독점]," , ,  무림의 위대한 전설이었지만, 그들도 천상에선 말단 신선들일 뿐이다. 천상과 소통하게 된 연청운과 야근 좀 그만하고 싶어 하는 사부들의 기묘한 동행이 시작된다."
학사검전 리마스터," 사내로 태어났으면 과거에 급제 학사로 양명을 하든가무림으로 출두하여 무공을 드날릴진대,이도 저도 아닌 처량한 신세로 전락한 학사 운현.그가 황실 장서각에 파묻혀 지내길 십 년, 드디어 붓을 들어 무림 완전 정복에 나서게 되는데....오로지 공부만이 살길이던 모범 학사의 무림 완전 정복 이야기가 시작된다!"
시리도록 불꽃처럼, 빙공의 절대고수 백무진.마침내 세상으로 나오다.
청풍표국 최강식객 [독점]," 황제의 호위무사였던 임요성.자신에게 예정된 모든 부귀영화를 버리고 강호에 나선 그에게 나타난 새로운 인연. 그렇게 강남 소주의 작은 표국에서 그의 강호행이 시작된다.""나 말이오? 청풍표국의 식객이오만?"""
권왕환생," 죽음을 맞이한 권왕 단우성. 다시 눈을 뜬 곳은 은하상단의 대공자의 몸이었다. 가진 것이라고는 돈 밖에 없었던 대공자의 몸으로 다시 수련을 시작한 단우성은 무공을 회복해서 은하상단으로 복귀하고, 압도적인 재력과 전생의 무공을 발판삼아 다시 복수에 나서는데..."
