제목,요약
뒷골목 마법사의 회귀생활 [독점]," 자유를 찾아 은퇴를 결심했다.한데, 이게 웬걸?“반갑네. 내 이름은 파헤른 폰 데큘란.”옘병...... 사냥개 하나 도주하는데 가주가 나서는 건 너무한 거 아니냐? 엉?“다시 데큘란의 그늘로 돌아오게.”뭬? 다시 그늘 아래로 돌아오라고? 이거 정말이지 썩 끌리는 제안......은 개뿔!어떻게 결심한 은퇴인데, 다시 개가 될까 보냐!피할 수 없는 죽음.하나, 당당히 맞서겠.."
천마는 평범하게 살 수 없다 [독점]," 천마 백중혁. 드미트리 가문의 장남으로 눈을 뜨다.드미트리의 얼간이.차남에게 밀린 장남.세간의 평판은 중요하지 않았다.천마.아니, 로만 드미트리는.앞으로 평범하게 살 수 없다."
아카데미에 위장취업당했다 [독점], 제국에서 제일 가는 마법 아카데미의 교사가 되었다....다른 사람과 착각 당해서.
역대급 영지 설계사 [독점]," 소설 속 귀족이 된 토목공학도 김수호. 그런데 뭐? 내 영지가 곧 망할 거라고? 그럼 살려야지. 설계하고, 건설하고, 분양해서. 【전 대륙이 기다려온 특별한 기회! 퍼펙트한 교통, 최상의 학군, 쾌적한 숲세권, 원스톱 프리미엄 영지 라이프의 프론테라 남작령이 여러분을 기다립니다. 선착순 분양계약중!】"
시한부 천재 암흑기사 [독점]," 시작은, 그래. 불시착이었다."
게임 속 바바리안으로 살아남기 [독점]," 2D 버전으로도 못 깼는데, 이걸 현실에서 깨라고?어쩌면 평생 여기서 살아야 할지도 모르겠다.뭐, 그조차도 쉽지는 않겠지만."
나 혼자 만렙 뉴비 [독점], 모두가 포기해버린 탑의 정상을 보았다.
스킬 무한의 만능 제작자, 나는 뭐든 제작한다
어느 날 해츨링이 되었다 [독점], 2021 지상최대공모전 수상작!고작 1년! 1년을 남기고 죽었다. 그런데 뭔가 이상하다......?
초인의 게임 [독점]," 지저 문명의 침략으로 멸망의 위기에 빠진 인류.세계 최고의 초인 7명이 마침내 전쟁을 종식시켰으나그들의 리더는 돌아오지 못했다.그리고 17년 후.“서문엽 씨, 정신이 드십니까?”“...어떻게 내가 살아 있지?”죽어서 신화가 된 영웅.서문엽이 귀환했다."
검은머리 미군 대원수, 1911년. 미 육군사관학교에 최초의 한인 생도가 입학했다.
4000년 만에 귀환한 대마도사," 웨스트로드 아카데미의 열등생.블레이크 가문의 수치. 괴로운 삶을 이기지 못해 죽음을 선택한 프레이 블레이크의 몸에새로운 영혼이 깃든다. ""뭐야. 이 몸뚱이는? 하나부터 열까지 손봐야겠군.""대마도사 루카스 트로우맨. 열등생 프레이 블레이크의 육체로 복수의 기회를 얻다."
후작가 대공자는 무림인," [제5회 대한민국 웹소설 공모대전 수상작]소설 속 판타지 세계, 나 혼자 무공을 사용한다."
몰락한 가문의 환생자 [독점]," -마왕을 죽이고 세상을 구한 아이작 그리피스. 500년의 세월이 흐른 후, 후손인 에드워드의 몸으로 환생하는데.......“그리피스가 망했다고?” 왕가에서 약소가문으로 전락한 그리피스 가문은 멸문을 앞두고 있다. “나 때문이라고?” 마왕을 죽인 공로를 인정받지 못하고 오히려 마왕과 결탁한 배신자로 역사에 기록된 아이작.가문을 부흥시키고 잘못된 역사를 바로잡기 위해.."
내가 키운 S급들," F급 헌터.그것도 잘나가는 S급 동생 발목이나 잡는 쓸모없고 찌질한 F급 형.개판 된 인생 대충 살다가 결국 동생 목숨까지 잡아먹고 회귀한 내게 주어진 칭호,'완벽한 양육자'.그래, 이번에는 나대지 말고 얌전히 잘난놈들 뒷바라지나 해 주자.라고 생각했는데, S급들이 좀 이상하다."
이거 게임 아님," 아무 생각 없이 구매한 VR기기.그런데 뭔가 생각했던 것과 다르다.""이거 게임 아닌 것 같은데?"""
별을 품은 소드마스터, 높디높은 밤하늘에 있지 않더라도아무도 보지 못하는 곳에 떨어져 있더라도스스로가 빛나기를 원한다면그렇다면 그것은 별일것이다.
플레이어가 과거를 숨김 [독점], 내 강함에는 비밀이 있다.......절대 말할 수 없는 비밀이.
약 파는 황태자 [독점]," 내가 황태자라고? 소설 속 병약요절한 그 황태자?그런데 나, 한의사인데?어쩔 수 없다.체질개선, 원기회복, 자양강장, 활력증진까지.이제부터 내 몸은 내가 챙긴다."
초월자 학원의 수강생이 되었다," [메테오 스트라이크 마법 연산식 증명. (강사:헤카테)][천상의 별을 떨구다. 천월유성봉 1~3초식. (강사:제천대성)][피지컬은 멘탈이 무너지는 순간 종이 쪼가리다. (강사:석가모니)]어느 날, 이상한 광고가 재생되었다."
66666년 만에 환생한 흑마법사 [독점]," 강대했던 흑마법사 디아블로 볼피르.12신의 계략에 당해 억겁 속에 봉인된다.그로부터 66666년이 흐르고 강대했던 흑마법사가 다시금 이 땅에 강림한다!""응애!""웰턴 백작의 갓 태어난 장남으로."
천재 흑마법사, 마법과 산업의 시대.한 이름 없는 광산 마을.그곳에 한 천재가 있었다.
