제목,요약
신화급 귀속 아이템을 손에 넣었다 [독점], 2020 지상최대공모전 수상작!전 세계에 단 하나뿐인 신화급 아이템을 손에 넣었다.그런데 뭐? 귀속 아이템이라고?
천재의 신들린 게임방송 [독점]," 넘치는 신기에 무당조차 될 수 없는 운명.신기를 발휘하면 감당해야 할 반동에 평범하게 살았다.그러던 어느날.""너 방송해 볼 생각 없냐?""친구의 제안으로 시작한 방송.'가상현실에서는 반동이 없어?'예리해진 감각, 다가오는 위협과 득템의 순간까지 모두 알 수 있다!억눌렀던 신기가 발현되며 그의 재능이 깨어난다.하늘이 내려준 재능.개인방송으로 시작하는 새로운 삶.."
회귀한 천재 헌터의 슬기로운 청소생활 [독점]," 세계 최초 SSS랭크 천재 헌터 김준우.능력을 대단하지만 인정머리가 없어 큰 던전 토벌을 앞두고 평판에 문제가 생긴다.골머리를 썩히고 있는 가운데 정체를 알 수 없는 자들에게 암살당한다.그렇게 꼼짝없이 죽은 줄 알았지만, 10년 전 시점으로 회귀.다시 헌터로 성공할 걸 꿈꾸지만, 이전 생의 업보로 가진 스킬이 모두 봉인되어 있고.해제하기 위해서는 하찮게 봤.."
전지적 독자 시점," ​[오직 나만이, 이 세계의 결말을 알고 있다.]무려 3149편에 달하는 장편 판타지 소설, '멸망한 세계에서 살아남는 세 가지 방법'이 현실이 되어버렸다. 그리고 그 작품을 완독한 이는 단 한 명뿐이었다."
A.I. 닥터 [독점]," 최첨단 AI, 내과 의사 이수혁의 뇌에 자리 잡다.언제까지 수술하는 의사만 최고라고 생각하실 겁니까?칼잡이 주인공은 솔직히 너무 많잖아요?백강혁 말곤 누가 누군지도 모르겠어.병이 뭔지 알아야 치료도 하는 법.대학 병원의 기둥, 내과 의사가 왔다.진짜 의사가 뭔지 보여 주마."
힐링식당 [독점]," [1,500,000원이 입금되었습니다.]‘저는 당신처럼 살지 않을겁니다. 그렇게 마냥 선하게 살지는 않을겁니다, 아버지.’호구처럼 살지 않겠다고 다짐했던 재현. 우연히 작은 선행을 베푼 후, 알 수 없는 일들이 생기기 시작한다.이제부터 인생 2막 시작이다."
운명을 보는 회사원, 무당이 되어 세상을 어지럽힐 팔자를 타고난 아이.욕심을 버리고 신을 받지 않기 위해 평범한 회사원이 되려 한다.관상과 사주로 운명을 꿰뚫어 보는 최영훈.과연 평범한 회사원이 될 수 있을까?
퍼펙트 에이전트 [독점], 2021 지상최대공모전 수상작!억!상대 투수가 던진 공이 머리를 향해 날아왔다.그 순간의 트라우마로 더이상 선수 생활을 할 수가 없었다.하지만 엄청난 능력 하나를 얻었다.실패한 야구 선수 강현우. 에이전트로 새로운 인생을 시작한다.#스포츠 #야구 #에이전트 #전문가물 #오피스
만능 음악천재가 되었다, 신의 선물을 받았다.
재벌 사위 말고 재벌 하겠습니다, 20년 간 헌신하고 버림받은 재벌가 사위의 회귀.더 큰 부와 권력으로 모든 걸 바로 잡기 위한 성공 스토리.
레벨업 하는 한의사, 파리 날리는 한의원 원장 이허준.기연을 얻다.
파티에서 추방된 영웅이 너무 뛰어남 [독점], 2021 지상최대공모전 수상작!믿고 있던 파티에서 추방됐다.그 뒤에 찾아온 기회는 그의 인생을 바꿔놓았다.
회귀자의 성공 투자법 [독점]," 꿈 많은 증권사 신입사원.한때 사장을 목표로 열심히 했으나, 현실은 치킨집 사장.하지만 2회차는 뭔가 다르지 않겠어?"
천재 회사원이 선넘으면 생기는일," 내가 선을 넘자,판이 달라졌다."
돌아온 아빠가 너무 강함," 헌터로서 적당히 벌어먹고 사는 삶에 만족하려 했다.하지만 이제부터는 후회 없이 살아갈 것이다.나를 위해, 가족들을 위해."
